subject,predicate,object
Check brake fluid level in master cylinder,HAS_RESULT,Low fluid level
Check brake fluid level in master cylinder,HAS_RESULT,Normal fluid level
Brake Master Cylinder,DIAGNOSED_BY,Inspect master cylinder for leaks or damage
Inspect master cylinder for leaks or damage,HAS_RESULT,Leaking/damaged
Inspect master cylinder for leaks or damage,HAS_RESULT,Intact
Brake Master Cylinder,REQUIRES_FIX,Replace Brake Master Cylinder
ABS System,HAS_COMPONENT,Brake Pad
Brake Pad,SHOWS_SYMPTOM,Squealing brakes
Brake Pad,SHOWS_SYMPTOM,Brake pedal pulsation
Brake Pad,DIAGNOSED_BY,Check brake pad thickness
Check brake pad thickness,HAS_RESULT,Worn pads
Check brake pad thickness,HAS_RESULT,Sufficient thickness pads
Brake Pad,DIAGNOSED_BY,Inspect brake pad condition
Inspect brake pad condition,HAS_RESULT,Worn/damaged pads
Inspect brake pad condition,HAS_RESULT,Good condition pads
Brake Pad,REQUIRES_FIX,Replace Brake Pad
ABS System,HAS_COMPONENT,Brake Rotor
Brake Rotor,SHOWS_SYMPTOM,Brake pedal pulsation
Brake Rotor,SHOWS_SYMPTOM,Steering wheel vibration
Brake Rotor,DIAGNOSED_BY,Measure brake rotor thickness
Measure brake rotor thickness,HAS_RESULT,Thin rotor
Measure brake rotor thickness,HAS_RESULT,Sufficient thickness rotor
Brake Rotor,DIAGNOSED_BY,Inspect brake rotor for scoring or warping
Inspect brake rotor for scoring or warping,HAS_RESULT,Scored/warped rotor
Inspect brake rotor for scoring or warping,HAS_RESULT,Smooth rotor
Brake Rotor,REQUIRES_FIX,Replace Brake Rotor
ABS System,HAS_COMPONENT,Brake Shoe & Drum
Brake Shoe & Drum,SHOWS_SYMPTOM,Spongy brake pedal
Brake Shoe & Drum,SHOWS_SYMPTOM,Brake dragging
Brake Shoe & Drum,DIAGNOSED_BY,Inspect brake shoes for wear
Inspect brake shoes for wear,HAS_RESULT,Worn shoes
Inspect brake shoes for wear,HAS_RESULT,Good condition shoes
Brake Shoe & Drum,DIAGNOSED_BY,Check brake drum for scoring or cracks
Check brake drum for scoring or cracks,HAS_RESULT,Scored/cracked drum
Check brake drum for scoring or cracks,HAS_RESULT,Smooth drum
Brake Shoe & Drum,REQUIRES_FIX,Replace Brake Shoe & Drum
Air Conditioning System,HAS_COMPONENT,AC Compressor
AC Compressor,SHOWS_SYMPTOM,No cold air from vents
AC Compressor,SHOWS_SYMPTOM,Loud noise when AC is on
AC Compressor,DIAGNOSED_BY,Check AC compressor clutch operation
Check AC compressor clutch operation,HAS_RESULT,Clutch not engaging
Check AC compressor clutch operation,HAS_RESULT,Clutch engages properly
AC Compressor,DIAGNOSED_BY,Inspect AC compressor for leaks or damage
Inspect AC compressor for leaks or damage,HAS_RESULT,Leaking/damaged compressor
Inspect AC compressor for leaks or damage,HAS_RESULT,Intact compressor
AC Compressor,REQUIRES_FIX,Replace AC Compressor
Air Conditioning System,HAS_COMPONENT,AC Condenser
AC Condenser,SHOWS_SYMPTOM,Warm air from AC vents
AC Condenser,SHOWS_SYMPTOM,AC system not cooling
AC Condenser,DIAGNOSED_BY,Inspect AC condenser for debris or blockage
Inspect AC condenser for debris or blockage,HAS_RESULT,Debris/blockage present
Inspect AC condenser for debris or blockage,HAS_RESULT,Clean/clear condenser
AC Condenser,DIAGNOSED_BY,Check for leaks in AC condenser
Check for leaks in AC condenser,HAS_RESULT,Leaking condenser
Check for leaks in AC condenser,HAS_RESULT,No leaks
AC Condenser,REQUIRES_FIX,Replace AC Condenser
Air Conditioning System,HAS_COMPONENT,AC Evaporator
AC Evaporator,SHOWS_SYMPTOM,Musty odor from vents
AC Evaporator,SHOWS_SYMPTOM,Weak airflow from vents
AC Evaporator,DIAGNOSED_BY,Inspect AC evaporator for mold or mildew buildup
Inspect AC evaporator for mold or mildew buildup,HAS_RESULT,Mold/mildew present
Inspect AC evaporator for mold or mildew buildup,HAS_RESULT,Clean evaporator
AC Evaporator,DIAGNOSED_BY,Check AC evaporator temperature sensor
Check AC evaporator temperature sensor,HAS_RESULT,Faulty sensor
Check AC evaporator temperature sensor,HAS_RESULT,Good sensor
AC Evaporator,REQUIRES_FIX,Replace AC Evaporator
Air Conditioning System,HAS_COMPONENT,AC Recharge
AC Recharge,SHOWS_SYMPTOM,Warm air from vents
AC Recharge,SHOWS_SYMPTOM,Low AC system pressure
AC Recharge,DIAGNOSED_BY,Check AC system pressure with gauge
Check AC system pressure with gauge,HAS_RESULT,Low pressure
Check AC system pressure with gauge,HAS_RESULT,Normal pressure
AC Recharge,DIAGNOSED_BY,Inspect for leaks in AC system
Inspect for leaks in AC system,HAS_RESULT,Leaking system
Inspect for leaks in AC system,HAS_RESULT,No leaks
AC Recharge,REQUIRES_FIX,Replace AC Recharge
Air Conditioning System,HAS_COMPONENT,Air Conditioning Diagnosis
Air Conditioning Diagnosis,SHOWS_SYMPTOM,AC system not working
Air Conditioning Diagnosis,SHOWS_SYMPTOM,Unusual noise from AC system
Air Conditioning Diagnosis,DIAGNOSED_BY,Perform AC system diagnostic scan
Perform AC system diagnostic scan,HAS_RESULT,Error codes present
Perform AC system diagnostic scan,HAS_RESULT,No error codes
Air Conditioning Diagnosis,DIAGNOSED_BY,Check AC system components for proper operation
Check AC system components for proper operation,HAS_RESULT,Component failure
Check AC system components for proper operation,HAS_RESULT,Components working properly
Air Conditioning Diagnosis,REQUIRES_FIX,Replace Air Conditioning Diagnosis
Air Conditioning System,HAS_COMPONENT,Cabin Air Filter
Cabin Air Filter,SHOWS_SYMPTOM,Musty odor from vents
Cabin Air Filter,SHOWS_SYMPTOM,Reduced airflow from vents
Cabin Air Filter,DIAGNOSED_BY,Inspect and replace cabin air filter
Inspect and replace cabin air filter,HAS_RESULT,Dirty/clogged filter
Inspect and replace cabin air filter,HAS_RESULT,Clean/new filter
Cabin Air Filter,DIAGNOSED_BY,Check for debris in cabin air intake
Check for debris in cabin air intake,HAS_RESULT,Debris in intake
Check for debris in cabin air intake,HAS_RESULT,Clear intake
Cabin Air Filter,REQUIRES_FIX,Replace Cabin Air Filter
Air Conditioning System,HAS_COMPONENT,Heater Blower Motor
Heater Blower Motor,SHOWS_SYMPTOM,No air from vents
Heater Blower Motor,SHOWS_SYMPTOM,Loud noise from HVAC system
Heater Blower Motor,DIAGNOSED_BY,Test blower motor operation
Test blower motor operation,HAS_RESULT,Motor not running
Test blower motor operation,HAS_RESULT,Motor running properly
Heater Blower Motor,DIAGNOSED_BY,Inspect blower motor for debris or damage
Inspect blower motor for debris or damage,HAS_RESULT,Debris/damage present
Inspect blower motor for debris or damage,HAS_RESULT,Clean/intact motor
Heater Blower Motor,REQUIRES_FIX,Replace Heater Blower Motor
Air Conditioning System,HAS_COMPONENT,Heater Blower Motor Resistor
Heater Blower Motor Resistor,SHOWS_SYMPTOM,HVAC fan speed erratic
Heater Blower Motor Resistor,SHOWS_SYMPTOM,HVAC fan only works on certain settings
Heater Blower Motor Resistor,DIAGNOSED_BY,Test blower motor resistor continuity
Test blower motor resistor continuity,HAS_RESULT,Resistor failure
Test blower motor resistor continuity,HAS_RESULT,Resistor working properly
Heater Blower Motor Resistor,DIAGNOSED_BY,Inspect resistor for overheating or burn marks
Inspect resistor for overheating or burn marks,HAS_RESULT,Overheated/burned resistor
Inspect resistor for overheating or burn marks,HAS_RESULT,Good condition resistor
Heater Blower Motor Resistor,REQUIRES_FIX,Replace Heater Blower Motor Resistor
Cooling System,HAS_COMPONENT,Coolant/Antifreeze
Coolant/Antifreeze,SHOWS_SYMPTOM,Engine overheating
Coolant/Antifreeze,SHOWS_SYMPTOM,Coolant leaks under the vehicle
Coolant/Antifreeze,DIAGNOSED_BY,Check coolant level and condition
Check coolant level and condition,HAS_RESULT,Low/dirty coolant
Check coolant level and condition,HAS_RESULT,Sufficient/clean coolant
Coolant/Antifreeze,DIAGNOSED_BY,Inspect radiator and hoses for leaks
Inspect radiator and hoses for leaks,HAS_RESULT,Leaking radiator/hoses
Inspect radiator and hoses for leaks,HAS_RESULT,No leaks
Coolant/Antifreeze,REQUIRES_FIX,Replace Coolant/Antifreeze
Cooling System,HAS_COMPONENT,Coolant Leak Diagnosis
Coolant Leak Diagnosis,SHOWS_SYMPTOM,Visible coolant puddle under vehicle
Coolant Leak Diagnosis,SHOWS_SYMPTOM,Coolant odor in cabin
Coolant Leak Diagnosis,DIAGNOSED_BY,Pressure test cooling system
Pressure test cooling system,HAS_RESULT,Leaking system
Pressure test cooling system,HAS_RESULT,No leaks detected
Coolant Leak Diagnosis,DIAGNOSED_BY,"Inspect radiator, hoses, and water pump for leaks"
"Inspect radiator, hoses, and water pump for leaks",HAS_RESULT,Leaking component found
"Inspect radiator, hoses, and water pump for leaks",HAS_RESULT,Components are intact
Coolant Leak Diagnosis,REQUIRES_FIX,Replace Coolant Leak Diagnosis
Cooling System,HAS_COMPONENT,Engine Cooling System
Engine Cooling System,SHOWS_SYMPTOM,Engine overheating
Engine Cooling System,SHOWS_SYMPTOM,Temperature gauge in red zone
Engine Cooling System,DIAGNOSED_BY,Check radiator for blockage or damage
Check radiator for blockage or damage,HAS_RESULT,Blocked/damaged radiator
Check radiator for blockage or damage,HAS_RESULT,Clear/intact radiator
Engine Cooling System,DIAGNOSED_BY,Test thermostat operation
Test thermostat operation,HAS_RESULT,Faulty thermostat
Test thermostat operation,HAS_RESULT,Thermostat functioning properly
Engine Cooling System,REQUIRES_FIX,Replace Engine Cooling System
Cooling System,HAS_COMPONENT,Heater Core
Heater Core,SHOWS_SYMPTOM,No heat from vents
Heater Core,SHOWS_SYMPTOM,Sweet smell in cabin
Heater Core,DIAGNOSED_BY,Inspect heater core for leaks
Inspect heater core for leaks,HAS_RESULT,Leaking heater core
Inspect heater core for leaks,HAS_RESULT,No leaks detected
Heater Core,DIAGNOSED_BY,Check coolant flow through heater core
Check coolant flow through heater core,HAS_RESULT,Restricted flow
Check coolant flow through heater core,HAS_RESULT,Good coolant flow
Heater Core,REQUIRES_FIX,Replace Heater Core
Cooling System,HAS_COMPONENT,Heater Hose
Heater Hose,SHOWS_SYMPTOM,Coolant odor in cabin
Heater Hose,SHOWS_SYMPTOM,Visible coolant leak under vehicle
Heater Hose,DIAGNOSED_BY,Inspect heater hose connections
Inspect heater hose connections,HAS_RESULT,Loose/damaged connections
Inspect heater hose connections,HAS_RESULT,Secure/intact connections
Heater Hose,DIAGNOSED_BY,Pressure test heater hoses
Pressure test heater hoses,HAS_RESULT,Leaking hose detected
Pressure test heater hoses,HAS_RESULT,No leaks found
Heater Hose,REQUIRES_FIX,Replace Heater Hose
Cooling System,HAS_COMPONENT,Radiator/Cooling Fan
Radiator/Cooling Fan,SHOWS_SYMPTOM,Engine overheating
Radiator/Cooling Fan,SHOWS_SYMPTOM,AC not cooling at idle
Radiator/Cooling Fan,DIAGNOSED_BY,Test radiator fan operation
Test radiator fan operation,HAS_RESULT,Fan not spinning
Test radiator fan operation,HAS_RESULT,Fan operates correctly
Radiator/Cooling Fan,DIAGNOSED_BY,Inspect radiator fan motor and relay
Inspect radiator fan motor and relay,HAS_RESULT,Faulty motor/relay
Inspect radiator fan motor and relay,HAS_RESULT,Motor/relay functioning properly
Radiator/Cooling Fan,REQUIRES_FIX,Replace Radiator/Cooling Fan
Cooling System,HAS_COMPONENT,Radiator Hose
Radiator Hose,SHOWS_SYMPTOM,Coolant leak under vehicle
Radiator Hose,SHOWS_SYMPTOM,Visible wear/cracks on hoses
Radiator Hose,DIAGNOSED_BY,Inspect radiator hoses for damage
Inspect radiator hoses for damage,HAS_RESULT,Damaged hoses found
Inspect radiator hoses for damage,HAS_RESULT,Hoses are in good condition
Radiator Hose,DIAGNOSED_BY,Check hose connections for leaks
Check hose connections for leaks,HAS_RESULT,Leaking connections
Check hose connections for leaks,HAS_RESULT,No leaks detected
Radiator Hose,REQUIRES_FIX,Replace Radiator Hose
Cooling System,HAS_COMPONENT,Water Pump
Water Pump,SHOWS_SYMPTOM,Engine overheating
Water Pump,SHOWS_SYMPTOM,Coolant leak near front of engine
Water Pump,DIAGNOSED_BY,Inspect water pump for leaks
Inspect water pump for leaks,HAS_RESULT,Leaking pump
Inspect water pump for leaks,HAS_RESULT,No leaks detected
Water Pump,DIAGNOSED_BY,Test water pump for proper operation
Test water pump for proper operation,HAS_RESULT,Faulty pump
Test water pump for proper operation,HAS_RESULT,Pump working correctly
Water Pump,REQUIRES_FIX,Replace Water Pump
Drivetrain,HAS_COMPONENT,Bevel Gears
Bevel Gears,SHOWS_SYMPTOM,Whining noise from drivetrain
Bevel Gears,SHOWS_SYMPTOM,Difficulty shifting gears
Bevel Gears,DIAGNOSED_BY,Inspect bevel gears for wear or damage
Inspect bevel gears for wear or damage,HAS_RESULT,Worn/damaged gears
Inspect bevel gears for wear or damage,HAS_RESULT,Gears in good condition
Bevel Gears,DIAGNOSED_BY,Check gear oil level and condition
Check gear oil level and condition,HAS_RESULT,Low/dirty gear oil
Check gear oil level and condition,HAS_RESULT,Sufficient/clean gear oil
Bevel Gears,REQUIRES_FIX,Replace Bevel Gears
Drivetrain,HAS_COMPONENT,Center Differential
Center Differential,SHOWS_SYMPTOM,Vehicle binding on turns
Center Differential,SHOWS_SYMPTOM,Noise from drivetrain while turning
Center Differential,DIAGNOSED_BY,Inspect center differential fluid
Inspect center differential fluid,HAS_RESULT,Low/dirty fluid
Inspect center differential fluid,HAS_RESULT,Clean/sufficient fluid
Center Differential,DIAGNOSED_BY,Check for excessive play in center differential
Check for excessive play in center differential,HAS_RESULT,Excessive play detected
Check for excessive play in center differential,HAS_RESULT,No excessive play
Center Differential,REQUIRES_FIX,Replace Center Differential
Drivetrain,HAS_COMPONENT,Clutch Cable
Clutch Cable,SHOWS_SYMPTOM,Clutch pedal feels loose
Clutch Cable,SHOWS_SYMPTOM,Difficulty engaging gears
Clutch Cable,DIAGNOSED_BY,Inspect clutch cable for fraying or stretching
Inspect clutch cable for fraying or stretching,HAS_RESULT,Damaged cable
Inspect clutch cable for fraying or stretching,HAS_RESULT,Intact cable
Clutch Cable,DIAGNOSED_BY,Adjust clutch cable tension
Adjust clutch cable tension,HAS_RESULT,Incorrect tension
Adjust clutch cable tension,HAS_RESULT,Correct tension
Clutch Cable,REQUIRES_FIX,Replace Clutch Cable
Drivetrain,HAS_COMPONENT,Clutch Slave Cylinder
Clutch Slave Cylinder,SHOWS_SYMPTOM,Clutch pedal feels spongy
Clutch Slave Cylinder,SHOWS_SYMPTOM,Fluid leak near clutch pedal
Clutch Slave Cylinder,DIAGNOSED_BY,Check clutch slave cylinder for leaks
Check clutch slave cylinder for leaks,HAS_RESULT,Leaking cylinder
Check clutch slave cylinder for leaks,HAS_RESULT,No leaks detected
Clutch Slave Cylinder,DIAGNOSED_BY,Inspect clutch fluid level and condition
Inspect clutch fluid level and condition,HAS_RESULT,Low/dirty fluid
Inspect clutch fluid level and condition,HAS_RESULT,Sufficient/clean fluid
Clutch Slave Cylinder,REQUIRES_FIX,Replace Clutch Slave Cylinder
Drivetrain,HAS_COMPONENT,Differential
Differential,SHOWS_SYMPTOM,Whining noise from rear end
Differential,SHOWS_SYMPTOM,Vehicle vibration at high speeds
Differential,DIAGNOSED_BY,Inspect differential fluid level and condition
Inspect differential fluid level and condition,HAS_RESULT,Low/dirty fluid
Inspect differential fluid level and condition,HAS_RESULT,Clean/sufficient fluid
Differential,DIAGNOSED_BY,Check for differential bearing wear
Check for differential bearing wear,HAS_RESULT,Worn bearings
Check for differential bearing wear,HAS_RESULT,Bearings in good condition
Differential,REQUIRES_FIX,Replace Differential
Drivetrain,HAS_COMPONENT,Live Axle
Live Axle,SHOWS_SYMPTOM,Axle noise while turning
Live Axle,SHOWS_SYMPTOM,Vehicle leans to one side
Live Axle,DIAGNOSED_BY,Inspect live axle for cracks or bending
Inspect live axle for cracks or bending,HAS_RESULT,Cracked/bent axle
Inspect live axle for cracks or bending,HAS_RESULT,Axle is intact
Live Axle,DIAGNOSED_BY,Check axle bearings for wear
Check axle bearings for wear,HAS_RESULT,Worn bearings
Check axle bearings for wear,HAS_RESULT,Bearings in good condition
Live Axle,REQUIRES_FIX,Replace Live Axle
Drivetrain,HAS_COMPONENT,Rigid Axle
Rigid Axle,SHOWS_SYMPTOM,Vehicle bounces over bumps
Rigid Axle,SHOWS_SYMPTOM,Loud noise from rear axle
Rigid Axle,DIAGNOSED_BY,Inspect rigid axle for cracks or damage
Inspect rigid axle for cracks or damage,HAS_RESULT,Cracked/damaged axle
Inspect rigid axle for cracks or damage,HAS_RESULT,Axle in good condition
Rigid Axle,DIAGNOSED_BY,Check axle bearings for wear
Check axle bearings for wear,HAS_RESULT,Worn bearings
Check axle bearings for wear,HAS_RESULT,Bearings in good condition
Rigid Axle,REQUIRES_FIX,Replace Rigid Axle
Drivetrain,HAS_COMPONENT,Slushbox
Slushbox,SHOWS_SYMPTOM,Transmission slipping
Slushbox,SHOWS_SYMPTOM,Delay in gear engagement
Slushbox,DIAGNOSED_BY,Check transmission fluid level and condition
Check transmission fluid level and condition,HAS_RESULT,Low/dirty fluid
Check transmission fluid level and condition,HAS_RESULT,Clean/sufficient fluid
Slushbox,DIAGNOSED_BY,Inspect transmission for leaks
Inspect transmission for leaks,HAS_RESULT,Leaking transmission
Inspect transmission for leaks,HAS_RESULT,No leaks detected
Slushbox,REQUIRES_FIX,Replace Slushbox
Drivetrain,HAS_COMPONENT,Universal Joint
Universal Joint,SHOWS_SYMPTOM,Driveline vibration
Universal Joint,SHOWS_SYMPTOM,Clunking noise when shifting
Universal Joint,DIAGNOSED_BY,Inspect universal joint for wear or play
Inspect universal joint for wear or play,HAS_RESULT,Worn/play detected
Inspect universal joint for wear or play,HAS_RESULT,Joint in good condition
Universal Joint,DIAGNOSED_BY,Check driveline alignment
Check driveline alignment,HAS_RESULT,Misaligned driveline
Check driveline alignment,HAS_RESULT,Properly aligned driveline
Universal Joint,REQUIRES_FIX,Replace Universal Joint
Drivetrain,HAS_COMPONENT,Viscous Coupling
Viscous Coupling,SHOWS_SYMPTOM,Vehicle binding during turns
Viscous Coupling,SHOWS_SYMPTOM,Noise from drivetrain while turning
Viscous Coupling,DIAGNOSED_BY,Test viscous coupling operation
Test viscous coupling operation,HAS_RESULT,Coupling failure
Test viscous coupling operation,HAS_RESULT,Coupling functioning properly
Viscous Coupling,DIAGNOSED_BY,Inspect viscous coupling fluid
Inspect viscous coupling fluid,HAS_RESULT,Low/dirty fluid
Inspect viscous coupling fluid,HAS_RESULT,Clean/sufficient fluid
Viscous Coupling,REQUIRES_FIX,Replace Viscous Coupling
Electrical System,HAS_COMPONENT,Battery Replacement
Battery Replacement,SHOWS_SYMPTOM,Engine cranks slowly
Battery Replacement,SHOWS_SYMPTOM,Clicking sound when starting
Battery Replacement,DIAGNOSED_BY,Test battery voltage
Test battery voltage,HAS_RESULT,Low voltage
Test battery voltage,HAS_RESULT,Sufficient voltage
Battery Replacement,DIAGNOSED_BY,Inspect battery terminals for corrosion
Inspect battery terminals for corrosion,HAS_RESULT,Corroded terminals
Inspect battery terminals for corrosion,HAS_RESULT,Clean terminals
Battery Replacement,REQUIRES_FIX,Replace Battery Replacement
Electrical System,HAS_COMPONENT,Charging System
Charging System,SHOWS_SYMPTOM,Battery warning light on
Charging System,SHOWS_SYMPTOM,Dim headlights
Charging System,DIAGNOSED_BY,Test alternator output
Test alternator output,HAS_RESULT,Low output
Test alternator output,HAS_RESULT,Normal output
Charging System,DIAGNOSED_BY,Check alternator belt tension
Check alternator belt tension,HAS_RESULT,Loose belt
Check alternator belt tension,HAS_RESULT,Properly tensioned belt
Charging System,REQUIRES_FIX,Replace Charging System
Electrical System,HAS_COMPONENT,Check Engine Light Diagnosis
Check Engine Light Diagnosis,SHOWS_SYMPTOM,Check engine light on
Check Engine Light Diagnosis,SHOWS_SYMPTOM,Poor engine performance
Check Engine Light Diagnosis,DIAGNOSED_BY,Scan for diagnostic trouble codes (DTCs)
Scan for diagnostic trouble codes (DTCs),HAS_RESULT,DTCs present
Scan for diagnostic trouble codes (DTCs),HAS_RESULT,No DTCs
Check Engine Light Diagnosis,DIAGNOSED_BY,Check sensors related to DTCs
Check sensors related to DTCs,HAS_RESULT,Faulty sensor
Check sensors related to DTCs,HAS_RESULT,Sensor working properly
Check Engine Light Diagnosis,REQUIRES_FIX,Replace Check Engine Light Diagnosis
Electrical System,HAS_COMPONENT,Door Window Motor
Door Window Motor,SHOWS_SYMPTOM,Window does not move
Door Window Motor,SHOWS_SYMPTOM,Window moves intermittently
Door Window Motor,DIAGNOSED_BY,Test power to window motor
Test power to window motor,HAS_RESULT,No power
Test power to window motor,HAS_RESULT,Power present
Door Window Motor,DIAGNOSED_BY,Inspect window regulator for damage
Inspect window regulator for damage,HAS_RESULT,Damaged regulator
Inspect window regulator for damage,HAS_RESULT,Regulator intact
Door Window Motor,REQUIRES_FIX,Replace Door Window Motor
Electrical System,HAS_COMPONENT,Door Window Regulator
Door Window Regulator,SHOWS_SYMPTOM,Window off track
Door Window Regulator,SHOWS_SYMPTOM,Window stuck in one position
Door Window Regulator,DIAGNOSED_BY,Inspect window regulator mechanism
Inspect window regulator mechanism,HAS_RESULT,Mechanism jammed
Inspect window regulator mechanism,HAS_RESULT,Mechanism functioning
Door Window Regulator,DIAGNOSED_BY,Check window alignment in tracks
Check window alignment in tracks,HAS_RESULT,Misaligned window
Check window alignment in tracks,HAS_RESULT,Properly aligned window
Door Window Regulator,REQUIRES_FIX,Replace Door Window Regulator
Electrical System,HAS_COMPONENT,Headlamp Bulb
Headlamp Bulb,SHOWS_SYMPTOM,Headlight not working
Headlamp Bulb,SHOWS_SYMPTOM,Dim headlight
Headlamp Bulb,DIAGNOSED_BY,Inspect headlamp bulb for filament condition
Inspect headlamp bulb for filament condition,HAS_RESULT,Burnt out filament
Inspect headlamp bulb for filament condition,HAS_RESULT,Filament intact
Headlamp Bulb,DIAGNOSED_BY,Check headlamp socket for corrosion
Check headlamp socket for corrosion,HAS_RESULT,Corroded socket
Check headlamp socket for corrosion,HAS_RESULT,Clean socket
Headlamp Bulb,REQUIRES_FIX,Replace Headlamp Bulb
Electrical System,HAS_COMPONENT,Ignition Distributor Cap
Ignition Distributor Cap,SHOWS_SYMPTOM,Engine misfires
Ignition Distributor Cap,SHOWS_SYMPTOM,Difficulty starting engine
Ignition Distributor Cap,DIAGNOSED_BY,Inspect distributor cap for cracks or carbon tracks
Inspect distributor cap for cracks or carbon tracks,HAS_RESULT,Cracked/damaged cap
Inspect distributor cap for cracks or carbon tracks,HAS_RESULT,Cap in good condition
Ignition Distributor Cap,DIAGNOSED_BY,Check distributor rotor for wear
Check distributor rotor for wear,HAS_RESULT,Worn rotor
Check distributor rotor for wear,HAS_RESULT,Rotor in good condition
Ignition Distributor Cap,REQUIRES_FIX,Replace Ignition Distributor Cap
Electrical System,HAS_COMPONENT,Ignition Wire Set
Ignition Wire Set,SHOWS_SYMPTOM,Engine misfires
Ignition Wire Set,SHOWS_SYMPTOM,Poor fuel economy
Ignition Wire Set,DIAGNOSED_BY,Test ignition wires for continuity
Test ignition wires for continuity,HAS_RESULT,Broken wire
Test ignition wires for continuity,HAS_RESULT,Wires intact
Ignition Wire Set,DIAGNOSED_BY,Inspect spark plug boots for damage
Inspect spark plug boots for damage,HAS_RESULT,Damaged boots
Inspect spark plug boots for damage,HAS_RESULT,Intact boots
Ignition Wire Set,REQUIRES_FIX,Replace Ignition Wire Set
Electrical System,HAS_COMPONENT,Power Door Lock Actuator
Power Door Lock Actuator,SHOWS_SYMPTOM,Door lock not responding
Power Door Lock Actuator,SHOWS_SYMPTOM,Clicking sound from door
Power Door Lock Actuator,DIAGNOSED_BY,Test power to door lock actuator
Test power to door lock actuator,HAS_RESULT,No power
Test power to door lock actuator,HAS_RESULT,Power present
Power Door Lock Actuator,DIAGNOSED_BY,Inspect actuator mechanism for obstruction
Inspect actuator mechanism for obstruction,HAS_RESULT,Obstructed mechanism
Inspect actuator mechanism for obstruction,HAS_RESULT,Clear mechanism
Power Door Lock Actuator,REQUIRES_FIX,Replace Power Door Lock Actuator
Electrical System,HAS_COMPONENT,Starter Motor
Starter Motor,SHOWS_SYMPTOM,Engine does not crank
Starter Motor,SHOWS_SYMPTOM,Clicking sound when key is turned
Starter Motor,DIAGNOSED_BY,Test starter motor solenoid
Test starter motor solenoid,HAS_RESULT,Faulty solenoid
